Job,Year,Amount,Major
"Finance & Insurance, and Real Estate, Rental & Leasing",2020,237922,Computer and Information Sciences and Support Services
"Professional, Scientific & Management, and Administrative & Waste Management Services",2020,720774,Computer and Information Sciences and Support Services
"Educational Services, Health Care & Social Assistance",2020,274479,Computer and Information Sciences and Support Services
"Arts, Entertainment & Recreation and Accommodation & Food Services",2020,55417,Computer and Information Sciences and Support Services
"Other Services, Except Public Administration",2020,36729,Computer and Information Sciences and Support Services
Public Administration,2020,114534,Computer and Information Sciences and Support Services
Active Duty Military,2020,14289,Computer and Information Sciences and Support Services
"Agriculture, Forestry, Fishing and Hunting, and Mining",2019,10094,Computer and Information Sciences and Support Services
Construction,2019,28305,Computer and Information Sciences and Support Services
Manufacturing,2019,191574,Computer and Information Sciences and Support Services
Wholesale Trade,2019,39033,Computer and Information Sciences and Support Services
Retail Trade,2019,115815,Computer and Information Sciences and Support Services
"Transportation & Warehousing, and Utilities",2019,67512,Computer and Information Sciences and Support Services
Information,2019,131988,Computer and Information Sciences and Support Services
"Finance & Insurance, and Real Estate, Rental & Leasing",2019,224413,Computer and Information Sciences and Support Services
"Professional, Scientific & Management, and Administrative & Waste Management Services",2019,681544,Computer and Information Sciences and Support Services
"Educational Services, Health Care & Social Assistance",2019,263748,Computer and Information Sciences and Support Services
"Arts, Entertainment & Recreation and Accommodation & Food Services",2019,53250,Computer and Information Sciences and Support Services
"Other Services, Except Public Administration",2019,34074,Computer and Information Sciences and Support Services
Public Administration,2019,110369,Computer and Information Sciences and Support Services
Active Duty Military,2019,12729,Computer and Information Sciences and Support Services
"Agriculture, Forestry, Fishing and Hunting, and Mining",2018,9188,Computer and Information Sciences and Support Services
Construction,2018,26151,Computer and Information Sciences and Support Services
Manufacturing,2018,186881,Computer and Information Sciences and Support Services
Wholesale Trade,2018,38946,Computer and Information Sciences and Support Services
Retail Trade,2018,110278,Computer and Information Sciences and Support Services
"Transportation & Warehousing, and Utilities",2018,62115,Computer and Information Sciences and Support Services
Information,2018,129215,Computer and Information Sciences and Support Services
"Finance & Insurance, and Real Estate, Rental & Leasing",2018,210563,Computer and Information Sciences and Support Services
"Professional, Scientific & Management, and Administrative & Waste Management Services",2018,631093,Computer and Information Sciences and Support Services
"Educational Services, Health Care & Social Assistance",2018,251297,Computer and Information Sciences and Support Services
"Arts, Entertainment & Recreation and Accommodation & Food Services",2018,49186,Computer and Information Sciences and Support Services
"Other Services, Except Public Administration",2018,33567,Computer and Information Sciences and Support Services
Public Administration,2018,107378,Computer and Information Sciences and Support Services
Active Duty Military,2018,11545,Computer and Information Sciences and Support Services
"Agriculture, Forestry, Fishing and Hunting, and Mining",2017,9449,Computer and Information Sciences and Support Services
Construction,2017,23830,Computer and Information Sciences and Support Services
Manufacturing,2017,185055,Computer and Information Sciences and Support Services
Wholesale Trade,2017,37656,Computer and Information Sciences and Support Services
Retail Trade,2017,105809,Computer and Information Sciences and Support Services
"Transportation & Warehousing, and Utilities",2017,57157,Computer and Information Sciences and Support Services
Information,2017,123869,Computer and Information Sciences and Support Services
"Finance & Insurance, and Real Estate, Rental & Leasing",2017,196017,Computer and Information Sciences and Support Services
"Professional, Scientific & Management, and Administrative & Waste Management Services",2017,590849,Computer and Information Sciences and Support Services
"Educational Services, Health Care & Social Assistance",2017,241539,Computer and Information Sciences and Support Services
"Arts, Entertainment & Recreation and Accommodation & Food Services",2017,45489,Computer and Information Sciences and Support Services
"Other Services, Except Public Administration",2017,32110,Computer and Information Sciences and Support Services
Public Administration,2017,101035,Computer and Information Sciences and Support Services
Active Duty Military,2017,10999,Computer and Information Sciences and Support Services
"Agriculture, Forestry, Fishing and Hunting, and Mining",2016,8846,Computer and Information Sciences and Support Services
Construction,2016,21604,Computer and Information Sciences and Support Services
Manufacturing,2016,182317,Computer and Information Sciences and Support Services
Wholesale Trade,2016,36275,Computer and Information Sciences and Support Services
Retail Trade,2016,100447,Computer and Information Sciences and Support Services
"Transportation & Warehousing, and Utilities",2016,52768,Computer and Information Sciences and Support Services
Information,2016,116294,Computer and Information Sciences and Support Services
"Finance & Insurance, and Real Estate, Rental & Leasing",2016,183908,Computer and Information Sciences and Support Services
"Professional, Scientific & Management, and Administrative & Waste Management Services",2016,550479,Computer and Information Sciences and Support Services
"Educational Services, Health Care & Social Assistance",2016,229911,Computer and Information Sciences and Support Services
"Arts, Entertainment & Recreation and Accommodation & Food Services",2016,42904,Computer and Information Sciences and Support Services
"Other Services, Except Public Administration",2016,29849,Computer and Information Sciences and Support Services
Public Administration,2016,96415,Computer and Information Sciences and Support Services
Active Duty Military,2016,10717,Computer and Information Sciences and Support Services
"Agriculture, Forestry, Fishing and Hunting, and Mining",2015,7957,Computer and Information Sciences and Support Services
Construction,2015,19813,Computer and Information Sciences and Support Services
Manufacturing,2015,180770,Computer and Information Sciences and Support Services
Wholesale Trade,2015,33746,Computer and Information Sciences and Support Services
Retail Trade,2015,97382,Computer and Information Sciences and Support Services
"Transportation & Warehousing, and Utilities",2015,49626,Computer and Information Sciences and Support Services
Information,2015,111674,Computer and Information Sciences and Support Services
"Finance & Insurance, and Real Estate, Rental & Leasing",2015,171757,Computer and Information Sciences and Support Services
"Professional, Scientific & Management, and Administrative & Waste Management Services",2015,512445,Computer and Information Sciences and Support Services
"Educational Services, Health Care & Social Assistance",2015,219321,Computer and Information Sciences and Support Services
"Arts, Entertainment & Recreation and Accommodation & Food Services",2015,39926,Computer and Information Sciences and Support Services
"Other Services, Except Public Administration",2015,28729,Computer and Information Sciences and Support Services
Public Administration,2015,92213,Computer and Information Sciences and Support Services
Active Duty Military,2015,9876,Computer and Information Sciences and Support Services
"Agriculture, Forestry, Fishing and Hunting, and Mining",2014,7467,Computer and Information Sciences and Support Services
Construction,2014,18203,Computer and Information Sciences and Support Services
Manufacturing,2014,178627,Computer and Information Sciences and Support Services
Wholesale Trade,2014,33311,Computer and Information Sciences and Support Services
Retail Trade,2014,92770,Computer and Information Sciences and Support Services
"Transportation & Warehousing, and Utilities",2014,46653,Computer and Information Sciences and Support Services
Information,2014,103866,Computer and Information Sciences and Support Services
"Finance & Insurance, and Real Estate, Rental & Leasing",2014,164484,Computer and Information Sciences and Support Services
"Professional, Scientific & Management, and Administrative & Waste Management Services",2014,474331,Computer and Information Sciences and Support Services
"Educational Services, Health Care & Social Assistance",2014,204380,Computer and Information Sciences and Support Services
"Arts, Entertainment & Recreation and Accommodation & Food Services",2014,35803,Computer and Information Sciences and Support Services
"Other Services, Except Public Administration",2014,28326,Computer and Information Sciences and Support Services
Public Administration,2014,88083,Computer and Information Sciences and Support Services
Active Duty Military,2014,9532,Computer and Information Sciences and Support Services
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,4936,History
Construction,2020,19675,History
Manufacturing,2020,47168,History
Wholesale Trade,2020,22086,History
Retail Trade,2020,62951,History
"Transportation & Warehousing, and Utilities",2020,29776,History
Information,2020,35908,History
"Finance & Insurance, and Real Estate, Rental & Leasing",2020,98687,History
"Professional, Scientific & Management, and Administrative & Waste Management Services",2020,185789,History
"Educational Services, Health Care & Social Assistance",2020,325807,History
"Arts, Entertainment & Recreation and Accommodation & Food Services",2020,54434,History
"Other Services, Except Public Administration",2020,46407,History
Public Administration,2020,87676,History
Active Duty Military,2020,13245,History
"Agriculture, Forestry, Fishing and Hunting, and Mining",2019,5214,History
Construction,2019,18429,History
Manufacturing,2019,46224,History
Wholesale Trade,2019,22666,History
Retail Trade,2019,61970,History
"Transportation & Warehousing, and Utilities",2019,28061,History
Information,2019,36992,History
"Finance & Insurance, and Real Estate, Rental & Leasing",2019,97940,History
"Professional, Scientific & Management, and Administrative & Waste Management Services",2019,179267,History
"Educational Services, Health Care & Social Assistance",2019,315501,History
"Arts, Entertainment & Recreation and Accommodation & Food Services",2019,54756,History
"Other Services, Except Public Administration",2019,45302,History
Public Administration,2019,86565,History
Active Duty Military,2019,12835,History
"Agriculture, Forestry, Fishing and Hunting, and Mining",2018,5757,History
Construction,2018,17658,History
Manufacturing,2018,45894,History
Wholesale Trade,2018,22506,History
Retail Trade,2018,62701,History
"Transportation & Warehousing, and Utilities",2018,26415,History
Information,2018,39070,History
"Finance & Insurance, and Real Estate, Rental & Leasing",2018,97723,History
"Professional, Scientific & Management, and Administrative & Waste Management Services",2018,174044,History
"Educational Services, Health Care & Social Assistance",2018,308870,History
"Arts, Entertainment & Recreation and Accommodation & Food Services",2018,53698,History
"Other Services, Except Public Administration",2018,44523,History
Public Administration,2018,85668,History
Active Duty Military,2018,12609,History
"Agriculture, Forestry, Fishing and Hunting, and Mining",2017,6012,History
Construction,2017,16862,History
Manufacturing,2017,45606,History
Wholesale Trade,2017,23002,History
Retail Trade,2017,63146,History
"Transportation & Warehousing, and Utilities",2017,25372,History
Information,2017,40038,History
"Finance & Insurance, and Real Estate, Rental & Leasing",2017,94927,History
"Professional, Scientific & Management, and Administrative & Waste Management Services",2017,170125,History
"Educational Services, Health Care & Social Assistance",2017,305077,History
"Arts, Entertainment & Recreation and Accommodation & Food Services",2017,53296,History
"Other Services, Except Public Administration",2017,44858,History
Public Administration,2017,83122,History
Active Duty Military,2017,12922,History
"Agriculture, Forestry, Fishing and Hunting, and Mining",2016,5863,History
Construction,2016,16097,History
Manufacturing,2016,44321,History
Wholesale Trade,2016,21335,History
Retail Trade,2016,62518,History
"Transportation & Warehousing, and Utilities",2016,24300,History
Information,2016,39103,History
"Finance & Insurance, and Real Estate, Rental & Leasing",2016,92411,History
"Professional, Scientific & Management, and Administrative & Waste Management Services",2016,163144,History
"Educational Services, Health Care & Social Assistance",2016,297963,History
"Arts, Entertainment & Recreation and Accommodation & Food Services",2016,52603,History
"Other Services, Except Public Administration",2016,43776,History
Public Administration,2016,81431,History
Active Duty Military,2016,13402,History
"Agriculture, Forestry, Fishing and Hunting, and Mining",2015,5846,History
Construction,2015,16118,History
Manufacturing,2015,42054,History
Wholesale Trade,2015,20904,History
Retail Trade,2015,62099,History
"Transportation & Warehousing, and Utilities",2015,23301,History
Information,2015,38264,History
"Finance & Insurance, and Real Estate, Rental & Leasing",2015,91150,History
"Professional, Scientific & Management, and Administrative & Waste Management Services",2015,158601,History
"Educational Services, Health Care & Social Assistance",2015,293811,History
"Arts, Entertainment & Recreation and Accommodation & Food Services",2015,51709,History
"Other Services, Except Public Administration",2015,43627,History
Public Administration,2015,81343,History
Active Duty Military,2015,13078,History
"Agriculture, Forestry, Fishing and Hunting, and Mining",2014,5230,History
Construction,2014,15510,History
Manufacturing,2014,40674,History
Wholesale Trade,2014,20173,History
Retail Trade,2014,61755,History
"Transportation & Warehousing, and Utilities",2014,22769,History
Information,2014,37921,History
"Finance & Insurance, and Real Estate, Rental & Leasing",2014,89095,History
"Professional, Scientific & Management, and Administrative & Waste Management Services",2014,154745,History
"Educational Services, Health Care & Social Assistance",2014,291057,History
"Arts, Entertainment & Recreation and Accommodation & Food Services",2014,50634,History
"Other Services, Except Public Administration",2014,43597,History
Public Administration,2014,81350,History
Active Duty Military,2014,12892,History
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,3254,Math & Statistics
Construction,2020,9813,Math & Statistics
Manufacturing,2020,53853,Math & Statistics
Wholesale Trade,2020,11705,Math & Statistics
Retail Trade,2020,34836,Math & Statistics
"Transportation & Warehousing, and Utilities",2020,21305,Math & Statistics
Information,2020,23526,Math & Statistics
"Finance & Insurance, and Real Estate, Rental & Leasing",2020,100873,Math & Statistics
"Professional, Scientific & Management, and Administrative & Waste Management Services",2020,146560,Math & Statistics
"Educational Services, Health Care & Social Assistance",2020,243108,Math & Statistics
"Arts, Entertainment & Recreation and Accommodation & Food Services",2020,20524,Math & Statistics
"Other Services, Except Public Administration",2020,16439,Math & Statistics
Public Administration,2020,35125,Math & Statistics
Active Duty Military,2020,4180,Math & Statistics
"Agriculture, Forestry, Fishing and Hunting, and Mining",2019,3422,Math & Statistics
Construction,2019,9808,Math & Statistics
Manufacturing,2019,51872,Math & Statistics
Wholesale Trade,2019,11571,Math & Statistics
Retail Trade,2019,34916,Math & Statistics
"Transportation & Warehousing, and Utilities",2019,19035,Math & Statistics
Information,2019,22229,Math & Statistics
"Finance & Insurance, and Real Estate, Rental & Leasing",2019,99300,Math & Statistics
"Professional, Scientific & Management, and Administrative & Waste Management Services",2019,139364,Math & Statistics
"Educational Services, Health Care & Social Assistance",2019,235980,Math & Statistics
"Arts, Entertainment & Recreation and Accommodation & Food Services",2019,20012,Math & Statistics
"Other Services, Except Public Administration",2019,15033,Math & Statistics
Public Administration,2019,34436,Math & Statistics
Active Duty Military,2019,3911,Math & Statistics
"Agriculture, Forestry, Fishing and Hunting, and Mining",2018,3404,Math & Statistics
Construction,2018,9479,Math & Statistics
Manufacturing,2018,50657,Math & Statistics
Wholesale Trade,2018,12400,Math & Statistics
Retail Trade,2018,33435,Math & Statistics
"Transportation & Warehousing, and Utilities",2018,18348,Math & Statistics
Information,2018,22171,Math & Statistics
"Finance & Insurance, and Real Estate, Rental & Leasing",2018,95656,Math & Statistics
"Professional, Scientific & Management, and Administrative & Waste Management Services",2018,135154,Math & Statistics
"Educational Services, Health Care & Social Assistance",2018,232774,Math & Statistics
"Arts, Entertainment & Recreation and Accommodation & Food Services",2018,19018,Math & Statistics
"Other Services, Except Public Administration",2018,15239,Math & Statistics
Public Administration,2018,33725,Math & Statistics
Active Duty Military,2018,3403,Math & Statistics
"Agriculture, Forestry, Fishing and Hunting, and Mining",2017,3377,Math & Statistics
Construction,2017,9203,Math & Statistics
Manufacturing,2017,50100,Math & Statistics
Wholesale Trade,2017,11673,Math & Statistics
Retail Trade,2017,32015,Math & Statistics
"Transportation & Warehousing, and Utilities",2017,17142,Math & Statistics
Information,2017,21842,Math & Statistics
"Finance & Insurance, and Real Estate, Rental & Leasing",2017,90950,Math & Statistics
"Professional, Scientific & Management, and Administrative & Waste Management Services",2017,129911,Math & Statistics
"Educational Services, Health Care & Social Assistance",2017,228579,Math & Statistics
"Arts, Entertainment & Recreation and Accommodation & Food Services",2017,17600,Math & Statistics
"Other Services, Except Public Administration",2017,15229,Math & Statistics
Public Administration,2017,33987,Math & Statistics
Active Duty Military,2017,3323,Math & Statistics
"Agriculture, Forestry, Fishing and Hunting, and Mining",2016,3407,Math & Statistics
Construction,2016,8659,Math & Statistics
Manufacturing,2016,49794,Math & Statistics
Wholesale Trade,2016,11216,Math & Statistics
Retail Trade,2016,30564,Math & Statistics
"Transportation & Warehousing, and Utilities",2016,16343,Math & Statistics
Information,2016,20711,Math & Statistics
"Finance & Insurance, and Real Estate, Rental & Leasing",2016,87944,Math & Statistics
"Professional, Scientific & Management, and Administrative & Waste Management Services",2016,124578,Math & Statistics
"Educational Services, Health Care & Social Assistance",2016,222623,Math & Statistics
"Arts, Entertainment & Recreation and Accommodation & Food Services",2016,16744,Math & Statistics
"Other Services, Except Public Administration",2016,14786,Math & Statistics
Public Administration,2016,32834,Math & Statistics
Active Duty Military,2016,3453,Math & Statistics
"Agriculture, Forestry, Fishing and Hunting, and Mining",2015,3364,Math & Statistics
Construction,2015,8160,Math & Statistics
Manufacturing,2015,50395,Math & Statistics
Wholesale Trade,2015,10897,Math & Statistics
Retail Trade,2015,30831,Math & Statistics
"Transportation & Warehousing, and Utilities",2015,15889,Math & Statistics
Information,2015,19392,Math & Statistics
"Finance & Insurance, and Real Estate, Rental & Leasing",2015,84397,Math & Statistics
"Professional, Scientific & Management, and Administrative & Waste Management Services",2015,120997,Math & Statistics
"Educational Services, Health Care & Social Assistance",2015,220651,Math & Statistics
"Arts, Entertainment & Recreation and Accommodation & Food Services",2015,15411,Math & Statistics
"Other Services, Except Public Administration",2015,15043,Math & Statistics
Public Administration,2015,32894,Math & Statistics
Active Duty Military,2015,3358,Math & Statistics
"Agriculture, Forestry, Fishing and Hunting, and Mining",2014,3179,Math & Statistics
Construction,2014,7974,Math & Statistics
Manufacturing,2014,51711,Math & Statistics
Wholesale Trade,2014,10570,Math & Statistics
Retail Trade,2014,30813,Math & Statistics
"Transportation & Warehousing, and Utilities",2014,16309,Math & Statistics
Information,2014,18870,Math & Statistics
"Finance & Insurance, and Real Estate, Rental & Leasing",2014,80985,Math & Statistics
"Professional, Scientific & Management, and Administrative & Waste Management Services",2014,117575,Math & Statistics
"Educational Services, Health Care & Social Assistance",2014,218263,Math & Statistics
"Arts, Entertainment & Recreation and Accommodation & Food Services",2014,14815,Math & Statistics
"Other Services, Except Public Administration",2014,14853,Math & Statistics
Public Administration,2014,32682,Math & Statistics
Active Duty Military,2014,3379,Math & Statistics
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,65757,Engineering
Construction,2020,252914,Engineering
Manufacturing,2020,1184128,Engineering
Wholesale Trade,2020,99759,Engineering
Retail Trade,2020,174416,Engineering
"Transportation & Warehousing, and Utilities",2020,222087,Engineering
Information,2020,131323,Engineering
"Finance & Insurance, and Real Estate, Rental & Leasing",2020,251887,Engineering
"Professional, Scientific & Management, and Administrative & Waste Management Services",2020,1174165,Engineering
"Educational Services, Health Care & Social Assistance",2020,463568,Engineering
"Arts, Entertainment & Recreation and Accommodation & Food Services",2020,88512,Engineering
"Other Services, Except Public Administration",2020,63853,Engineering
Public Administration,2020,225181,Engineering
Active Duty Military,2020,42336,Engineering
"Agriculture, Forestry, Fishing and Hunting, and Mining",2019,68929,Engineering
Construction,2019,235071,Engineering
Manufacturing,2019,1150686,Engineering
Wholesale Trade,2019,99764,Engineering
Retail Trade,2019,166215,Engineering
"Transportation & Warehousing, and Utilities",2019,215070,Engineering
Information,2019,129816,Engineering
"Finance & Insurance, and Real Estate, Rental & Leasing",2019,238250,Engineering
"Professional, Scientific & Management, and Administrative & Waste Management Services",2019,1129694,Engineering
"Educational Services, Health Care & Social Assistance",2019,449401,Engineering
"Arts, Entertainment & Recreation and Accommodation & Food Services",2019,86534,Engineering
"Other Services, Except Public Administration",2019,63206,Engineering
Public Administration,2019,212523,Engineering
Active Duty Military,2019,38331,Engineering
"Agriculture, Forestry, Fishing and Hunting, and Mining",2018,68451,Engineering
Construction,2018,223924,Engineering
Manufacturing,2018,1110240,Engineering
Wholesale Trade,2018,101814,Engineering
Retail Trade,2018,160009,Engineering
"Transportation & Warehousing, and Utilities",2018,208662,Engineering
Information,2018,129869,Engineering
"Finance & Insurance, and Real Estate, Rental & Leasing",2018,227772,Engineering
"Professional, Scientific & Management, and Administrative & Waste Management Services",2018,1080906,Engineering
"Educational Services, Health Care & Social Assistance",2018,433597,Engineering
"Arts, Entertainment & Recreation and Accommodation & Food Services",2018,84341,Engineering
"Other Services, Except Public Administration",2018,61337,Engineering
Public Administration,2018,207623,Engineering
Active Duty Military,2018,36625,Engineering
"Agriculture, Forestry, Fishing and Hunting, and Mining",2017,67658,Engineering
Construction,2017,214503,Engineering
Manufacturing,2017,1080793,Engineering
Wholesale Trade,2017,101605,Engineering
Retail Trade,2017,151711,Engineering
"Transportation & Warehousing, and Utilities",2017,200284,Engineering
Information,2017,126936,Engineering
"Finance & Insurance, and Real Estate, Rental & Leasing",2017,214408,Engineering
"Professional, Scientific & Management, and Administrative & Waste Management Services",2017,1033003,Engineering
"Educational Services, Health Care & Social Assistance",2017,416181,Engineering
"Arts, Entertainment & Recreation and Accommodation & Food Services",2017,79839,Engineering
"Other Services, Except Public Administration",2017,59077,Engineering
Public Administration,2017,201250,Engineering
Active Duty Military,2017,35054,Engineering
"Agriculture, Forestry, Fishing and Hunting, and Mining",2016,67019,Engineering
Construction,2016,208410,Engineering
Manufacturing,2016,1059029,Engineering
Wholesale Trade,2016,97432,Engineering
Retail Trade,2016,144897,Engineering
"Transportation & Warehousing, and Utilities",2016,192306,Engineering
Information,2016,119923,Engineering
"Finance & Insurance, and Real Estate, Rental & Leasing",2016,202124,Engineering
"Professional, Scientific & Management, and Administrative & Waste Management Services",2016,986990,Engineering
"Educational Services, Health Care & Social Assistance",2016,392012,Engineering
"Arts, Entertainment & Recreation and Accommodation & Food Services",2016,74613,Engineering
"Other Services, Except Public Administration",2016,55050,Engineering
Public Administration,2016,195255,Engineering
Active Duty Military,2016,33475,Engineering
"Agriculture, Forestry, Fishing and Hunting, and Mining",2015,62861,Engineering
Construction,2015,201410,Engineering
Manufacturing,2015,1032783,Engineering
Wholesale Trade,2015,94173,Engineering
Retail Trade,2015,139960,Engineering
"Transportation & Warehousing, and Utilities",2015,185472,Engineering
Information,2015,114283,Engineering
"Finance & Insurance, and Real Estate, Rental & Leasing",2015,192609,Engineering
"Professional, Scientific & Management, and Administrative & Waste Management Services",2015,947908,Engineering
"Educational Services, Health Care & Social Assistance",2015,381829,Engineering
"Arts, Entertainment & Recreation and Accommodation & Food Services",2015,71414,Engineering
"Other Services, Except Public Administration",2015,55302,Engineering
Public Administration,2015,193318,Engineering
Active Duty Military,2015,32717,Engineering
"Agriculture, Forestry, Fishing and Hunting, and Mining",2014,57295,Engineering
Construction,2014,198025,Engineering
Manufacturing,2014,1013935,Engineering
Wholesale Trade,2014,90641,Engineering
Retail Trade,2014,133408,Engineering
"Transportation & Warehousing, and Utilities",2014,182398,Engineering
Information,2014,106528,Engineering
"Finance & Insurance, and Real Estate, Rental & Leasing",2014,182296,Engineering
"Professional, Scientific & Management, and Administrative & Waste Management Services",2014,912189,Engineering
"Educational Services, Health Care & Social Assistance",2014,363904,Engineering
"Arts, Entertainment & Recreation and Accommodation & Food Services",2014,67708,Engineering
"Other Services, Except Public Administration",2014,53862,Engineering
Public Administration,2014,190924,Engineering
Active Duty Military,2014,31774,Engineering
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,6530,Health
Construction,2020,21455,Health
Manufacturing,2020,91542,Health
Wholesale Trade,2020,29984,Health
Retail Trade,2020,222137,Health
"Transportation & Warehousing, and Utilities",2020,30796,Health
Information,2020,21534,Health
"Finance & Insurance, and Real Estate, Rental & Leasing",2020,132450,Health
"Professional, Scientific & Management, and Administrative & Waste Management Services",2020,204973,Health
"Educational Services, Health Care & Social Assistance",2020,3240173,Health
"Arts, Entertainment & Recreation and Accommodation & Food Services",2020,90154,Health
"Other Services, Except Public Administration",2020,58917,Health
Public Administration,2020,138945,Health
Active Duty Military,2020,14062,Health
"Agriculture, Forestry, Fishing and Hunting, and Mining",2019,6051,Health
Construction,2019,18466,Health
Manufacturing,2019,88442,Health
Wholesale Trade,2019,27950,Health
Retail Trade,2019,216804,Health
"Transportation & Warehousing, and Utilities",2019,29613,Health
Information,2019,19452,Health
"Finance & Insurance, and Real Estate, Rental & Leasing",2019,124545,Health
"Professional, Scientific & Management, and Administrative & Waste Management Services",2019,188760,Health
"Educational Services, Health Care & Social Assistance",2019,3124913,Health
"Arts, Entertainment & Recreation and Accommodation & Food Services",2019,84497,Health
"Other Services, Except Public Administration",2019,56505,Health
Public Administration,2019,131712,Health
Active Duty Military,2019,12748,Health
"Agriculture, Forestry, Fishing and Hunting, and Mining",2018,6141,Health
Construction,2018,16699,Health
Manufacturing,2018,83792,Health
Wholesale Trade,2018,28018,Health
Retail Trade,2018,212667,Health
"Transportation & Warehousing, and Utilities",2018,27642,Health
Information,2018,18703,Health
"Finance & Insurance, and Real Estate, Rental & Leasing",2018,116162,Health
"Professional, Scientific & Management, and Administrative & Waste Management Services",2018,176642,Health
"Educational Services, Health Care & Social Assistance",2018,2995652,Health
"Arts, Entertainment & Recreation and Accommodation & Food Services",2018,79140,Health
"Other Services, Except Public Administration",2018,54294,Health
Public Administration,2018,123817,Health
Active Duty Military,2018,11045,Health
"Agriculture, Forestry, Fishing and Hunting, and Mining",2017,5927,Health
Construction,2017,14766,Health
Manufacturing,2017,77726,Health
Wholesale Trade,2017,27052,Health
Retail Trade,2017,205903,Health
"Transportation & Warehousing, and Utilities",2017,23483,Health
Information,2017,17619,Health
"Finance & Insurance, and Real Estate, Rental & Leasing",2017,109713,Health
"Professional, Scientific & Management, and Administrative & Waste Management Services",2017,165384,Health
"Educational Services, Health Care & Social Assistance",2017,2880765,Health
"Arts, Entertainment & Recreation and Accommodation & Food Services",2017,74510,Health
"Other Services, Except Public Administration",2017,50924,Health
Public Administration,2017,116204,Health
Active Duty Military,2017,11249,Health
"Agriculture, Forestry, Fishing and Hunting, and Mining",2016,5772,Health
Construction,2016,13101,Health
Manufacturing,2016,71654,Health
Wholesale Trade,2016,26351,Health
Retail Trade,2016,202838,Health
"Transportation & Warehousing, and Utilities",2016,21394,Health
Information,2016,15186,Health
"Finance & Insurance, and Real Estate, Rental & Leasing",2016,99152,Health
"Professional, Scientific & Management, and Administrative & Waste Management Services",2016,153837,Health
"Educational Services, Health Care & Social Assistance",2016,2768936,Health
"Arts, Entertainment & Recreation and Accommodation & Food Services",2016,70696,Health
"Other Services, Except Public Administration",2016,46774,Health
Public Administration,2016,109392,Health
Active Duty Military,2016,10654,Health
"Agriculture, Forestry, Fishing and Hunting, and Mining",2015,5308,Health
Construction,2015,11670,Health
Manufacturing,2015,66791,Health
Wholesale Trade,2015,25633,Health
Retail Trade,2015,197686,Health
"Transportation & Warehousing, and Utilities",2015,19216,Health
Information,2015,13689,Health
"Finance & Insurance, and Real Estate, Rental & Leasing",2015,89312,Health
"Professional, Scientific & Management, and Administrative & Waste Management Services",2015,142934,Health
"Educational Services, Health Care & Social Assistance",2015,2669623,Health
"Arts, Entertainment & Recreation and Accommodation & Food Services",2015,64000,Health
"Other Services, Except Public Administration",2015,43939,Health
Public Administration,2015,107147,Health
Active Duty Military,2015,10514,Health
"Agriculture, Forestry, Fishing and Hunting, and Mining",2014,5057,Health
Construction,2014,11653,Health
Manufacturing,2014,62931,Health
Wholesale Trade,2014,23780,Health
Retail Trade,2014,192057,Health
"Transportation & Warehousing, and Utilities",2014,16969,Health
Information,2014,13016,Health
"Finance & Insurance, and Real Estate, Rental & Leasing",2014,82628,Health
"Professional, Scientific & Management, and Administrative & Waste Management Services",2014,132658,Health
"Educational Services, Health Care & Social Assistance",2014,2564661,Health
"Arts, Entertainment & Recreation and Accommodation & Food Services",2014,58698,Health
"Other Services, Except Public Administration",2014,41686,Health
Public Administration,2014,103419,Health
Active Duty Military,2014,10039,Health
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,8018,Psychology
Construction,2020,34086,Psychology
Manufacturing,2020,94916,Psychology
Wholesale Trade,2020,36988,Psychology
Retail Trade,2020,139812,Psychology
"Transportation & Warehousing, and Utilities",2020,49951,Psychology
Information,2020,47365,Psychology
"Finance & Insurance, and Real Estate, Rental & Leasing",2020,187678,Psychology
"Professional, Scientific & Management, and Administrative & Waste Management Services",2020,292018,Psychology
"Educational Services, Health Care & Social Assistance",2020,1310750,Psychology
"Arts, Entertainment & Recreation and Accommodation & Food Services",2020,114231,Psychology
"Other Services, Except Public Administration",2020,97557,Psychology
Public Administration,2020,188146,Psychology
Active Duty Military,2020,13563,Psychology
"Agriculture, Forestry, Fishing and Hunting, and Mining",2019,7819,Psychology
Construction,2019,30782,Psychology
Manufacturing,2019,91051,Psychology
Wholesale Trade,2019,37097,Psychology
Retail Trade,2019,138156,Psychology
"Transportation & Warehousing, and Utilities",2019,49238,Psychology
Information,2019,46731,Psychology
"Finance & Insurance, and Real Estate, Rental & Leasing",2019,181535,Psychology
"Professional, Scientific & Management, and Administrative & Waste Management Services",2019,279619,Psychology
"Educational Services, Health Care & Social Assistance",2019,1264040,Psychology
"Arts, Entertainment & Recreation and Accommodation & Food Services",2019,117344,Psychology
"Other Services, Except Public Administration",2019,95559,Psychology
Public Administration,2019,180177,Psychology
Active Duty Military,2019,12544,Psychology
"Agriculture, Forestry, Fishing and Hunting, and Mining",2018,7182,Psychology
Construction,2018,28908,Psychology
Manufacturing,2018,85140,Psychology
Wholesale Trade,2018,37035,Psychology
Retail Trade,2018,134934,Psychology
"Transportation & Warehousing, and Utilities",2018,47308,Psychology
